id,gold_pass,prog_op_count,prog_op_diversity,prog_has_chain,prog_uses_const,prog_uses_table_op,prog_sign_flip,prog_magnitude_blowup,prog_max_abs_interm,beh_output_tokens,beh_input_tokens,beh_cost_usd,beh_reasoning_words,beh_tokens_per_word,beh_revision_count,beh_num_mentions,beh_abstain,beh_latency_ms,skill_conf_rating,skill_adv_lc_count,skill_adv_li_count,skill_adv_unc_count,skill_adv_confident
JPM/2008/page_85.pdf-3,0,1,1,0,0,0,0,0.0,10.94,255,334,0.001609,127,2.0079,2,19,1,2867,5,4,0,0,1
PNC/2009/page_46.pdf-2,1,1,1,0,0,0,0,0.0,1.0,128,272,0.000912,55,2.3273,0,13,0,1781,5,2,0,2,0
HOLX/2015/page_98.pdf-2,1,2,2,1,0,0,0,3.8,11.4,154,217,0.000987,59,2.6102,0,17,0,1813,5,4,0,0,1
AES/2016/page_191.pdf-3,0,1,1,0,0,1,0,0.0,11.3,196,412,0.001392,102,1.9216,0,21,0,2497,2,0,3,1,0
MAS/2012/page_70.pdf-1,1,2,2,1,0,0,0,23.4286,492.0,179,676,0.001571,63,2.8413,0,22,0,1811,5,4,0,0,1
ETR/2002/page_86.pdf-3,1,2,2,1,1,0,0,4755.9055,30200.0,186,319,0.001249,80,2.325,0,14,0,1951,4,4,0,0,1
AMT/2010/page_34.pdf-2,0,1,1,0,0,0,0,0.0,22556579533.3,122,352,0.000962,40,3.05,0,7,0,1683,5,4,0,0,1
L/2015/page_59.pdf-4,0,2,2,1,0,0,0,1.2613,15.64,149,389,0.001134,55,2.7091,0,17,0,2049,5,4,0,0,1
ADI/2011/page_81.pdf-1,0,1,1,0,0,0,0,0.0,65.1,115,253,0.000828,42,2.7381,0,12,0,1826,5,4,0,0,1
MSI/2009/page_65.pdf-2,1,1,1,0,0,0,0,0.0,1.69,121,411,0.001016,52,2.3269,0,11,0,1759,5,4,0,0,1
PM/2015/page_38.pdf-1,1,2,2,1,0,0,0,25.4286,8.9,157,309,0.001094,60,2.6167,0,17,0,1968,5,3,0,1,0
HWM/2017/page_41.pdf-1,1,2,2,1,1,0,0,225.0975,69.24,181,433,0.001338,73,2.4795,0,19,0,2178,5,4,0,0,1
LKQ/2010/page_84.pdf-1,1,2,2,1,0,0,0,2.0732,17.0,124,246,0.000866,43,2.8837,0,13,0,1906,5,4,0,0,1
AAPL/2008/page_78.pdf-2,1,1,1,0,0,1,0,0.0,5.0,130,306,0.000956,58,2.2414,0,17,0,1835,5,4,0,0,1
LMT/2006/page_37.pdf-1,0,1,1,0,0,0,0,0.0,48.2,169,471,0.001316,76,2.2237,0,14,0,2177,5,4,0,0,1
DISH/2013/page_138.pdf-1,1,1,1,0,0,0,0,0.0,7.0,193,305,0.00127,119,1.6218,0,9,0,2394,4,0,1,3,0
PM/2018/page_24.pdf-2,0,5,2,1,1,0,1,15.3714,53.8,317,473,0.002058,123,2.5772,0,37,0,2535,5,4,0,0,1
IPG/2009/page_85.pdf-3,1,2,2,1,1,0,0,100.0,10.83,99,401,0.000896,35,2.8286,0,8,0,1728,5,4,0,0,1
ZBH/2017/page_53.pdf-1,1,1,1,0,0,0,0,0.0,0.0439,110,221,0.000771,42,2.619,0,9,0,1730,5,4,0,0,1
PNC/2015/page_159.pdf-2,1,2,2,1,1,0,0,2.0,173.0,120,296,0.000896,47,2.5532,0,14,0,1785,5,4,0,0,1
OKE/2008/page_86.pdf-1,1,1,1,0,0,0,0,0.0,233629.0,130,296,0.000946,58,2.2414,0,13,0,1620,5,4,0,0,1
MRO/2007/page_149.pdf-1,0,1,1,0,0,1,0,0.0,1311.7,197,594,0.001579,102,1.9314,0,16,0,2651,2,0,0,4,0
INTC/2013/page_29.pdf-1,1,1,1,0,0,0,0,0.0,85.0,124,318,0.000938,52,2.3846,0,11,0,1586,5,4,0,0,1
MRO/2015/page_18.pdf-3,1,1,1,0,0,1,0,0.0,5808.0,143,369,0.001084,62,2.3065,0,16,0,1683,5,4,0,0,1
ADBE/2018/page_86.pdf-2,0,1,1,0,0,0,0,0.0,0.0,173,478,0.001343,71,2.4366,0,15,0,2001,4,3,0,1,0
PM/2015/page_127.pdf-1,1,2,2,1,0,0,0,68.3289,2576.0,189,390,0.001335,72,2.625,0,21,0,2068,5,4,0,0,1
ETFC/2007/page_126.pdf-2,1,1,1,0,0,0,0,0.0,0.15,148,268,0.001008,56,2.6429,0,15,0,1912,5,0,0,4,0
PM/2015/page_85.pdf-3,1,1,1,0,0,0,0,0.0,0.86,145,382,0.001107,63,2.3016,0,11,0,2155,4,0,2,2,0
MSI/2006/page_61.pdf-4,0,4,2,1,1,0,0,3.0,696.0,129,422,0.001067,59,2.1864,0,16,0,2076,5,4,0,0,1
