[L2_haiku] 120 tasks, 0 already done -> /work/tree/domains/autoresearch/blueprints/e-harness2-jit-vs-offline-authoring/results/L2_haiku.jsonl
  [L2_haiku] 10/120  acc=0.500  authored=5  jit_notes=5
  [L2_haiku] 20/120  acc=0.700  authored=6  jit_notes=6
  [L2_haiku] 30/120  acc=0.767  authored=7  jit_notes=7
  [L2_haiku] 40/120  acc=0.775  authored=9  jit_notes=9
  [L2_haiku] 50/120  acc=0.800  authored=10  jit_notes=10
  [L2_haiku] 60/120  acc=0.817  authored=11  jit_notes=11
  [L2_haiku] 70/120  acc=0.814  authored=13  jit_notes=13
  [L2_haiku] 80/120  acc=0.825  authored=14  jit_notes=14
  [L2_haiku] 90/120  acc=0.822  authored=16  jit_notes=16
  [L2_haiku] 100/120  acc=0.800  authored=20  jit_notes=20
  [L2_haiku] 110/120  acc=0.818  authored=20  jit_notes=20
  [L2_haiku] 120/120  acc=0.833  authored=20  jit_notes=20
[L2_haiku] DONE  Pass@1=100/120=0.833  episode_cost=$0.80  author_cost=$0.018  interventions=20
