[L3_haiku_v-haiku] 120 tasks, 0 already done -> /work/tree/domains/autoresearch/blueprints/e-harness2-jit-vs-offline-authoring/results/L3_haiku_v-haiku.jsonl
  [L3_haiku_v-haiku] 10/120  acc=0.600  authored=4  jit_notes=4
  [L3_haiku_v-haiku] 20/120  acc=0.750  authored=5  jit_notes=5
  [L3_haiku_v-haiku] 30/120  acc=0.733  authored=8  jit_notes=8
  [L3_haiku_v-haiku] 40/120  acc=0.775  authored=9  jit_notes=9
  [L3_haiku_v-haiku] 50/120  acc=0.800  authored=10  jit_notes=10
  [L3_haiku_v-haiku] 60/120  acc=0.800  authored=12  jit_notes=12
  [L3_haiku_v-haiku] 70/120  acc=0.786  authored=15  jit_notes=15
  [L3_haiku_v-haiku] 80/120  acc=0.787  authored=17  jit_notes=17
  [L3_haiku_v-haiku] 90/120  acc=0.800  authored=18  jit_notes=18
  [L3_haiku_v-haiku] 100/120  acc=0.780  authored=22  jit_notes=22
  [L3_haiku_v-haiku] 110/120  acc=0.800  authored=22  jit_notes=22
  [L3_haiku_v-haiku] 120/120  acc=0.808  authored=23  jit_notes=23
[L3_haiku_v-haiku] DONE  Pass@1=97/120=0.808  episode_cost=$0.82  author_cost=$0.023  interventions=23
