[L3_sonnet_v-haiku] 120 tasks, 0 already done -> /work/tree/domains/autoresearch/blueprints/e-harness2-jit-vs-offline-authoring/results/L3_sonnet_v-haiku.jsonl
  [L3_sonnet_v-haiku] 10/120  acc=0.600  authored=4  jit_notes=4
  [L3_sonnet_v-haiku] 20/120  acc=0.750  authored=5  jit_notes=5
  [L3_sonnet_v-haiku] 30/120  acc=0.833  authored=5  jit_notes=5
  [L3_sonnet_v-haiku] 40/120  acc=0.825  authored=7  jit_notes=7
  [L3_sonnet_v-haiku] 50/120  acc=0.840  authored=8  jit_notes=8
  [L3_sonnet_v-haiku] 60/120  acc=0.867  authored=8  jit_notes=8
  [L3_sonnet_v-haiku] 70/120  acc=0.843  authored=11  jit_notes=11
  [L3_sonnet_v-haiku] 80/120  acc=0.838  authored=13  jit_notes=13
  [L3_sonnet_v-haiku] 90/120  acc=0.844  authored=14  jit_notes=14
  [L3_sonnet_v-haiku] 100/120  acc=0.830  authored=17  jit_notes=17
  [L3_sonnet_v-haiku] 110/120  acc=0.845  authored=17  jit_notes=17
  [L3_sonnet_v-haiku] 120/120  acc=0.858  authored=17  jit_notes=17
[L3_sonnet_v-haiku] DONE  Pass@1=103/120=0.858  episode_cost=$1.82  author_cost=$0.016  interventions=17
