[B_haiku] cell=B locus=self reward_visible=False 120 tasks, 0 done -> /work/tree/domains/autoresearch/blueprints/e-harness3-reward-regime-x-locus/results/B_haiku.jsonl
  [B_haiku] 10/120  acc=0.500  author_calls=10  authored=5  jit_notes=5
  [B_haiku] 20/120  acc=0.700  author_calls=20  authored=10  jit_notes=10
  [B_haiku] 30/120  acc=0.733  author_calls=30  authored=18  jit_notes=18
  [B_haiku] 40/120  acc=0.750  author_calls=40  authored=23  jit_notes=23
  [B_haiku] 50/120  acc=0.780  author_calls=50  authored=29  jit_notes=29
  [B_haiku] 60/120  acc=0.767  author_calls=60  authored=33  jit_notes=33
  [B_haiku] 70/120  acc=0.757  author_calls=70  authored=38  jit_notes=38
  [B_haiku] 80/120  acc=0.762  author_calls=80  authored=41  jit_notes=41
  [B_haiku] 90/120  acc=0.756  author_calls=90  authored=47  jit_notes=47
  [B_haiku] 100/120  acc=0.750  author_calls=100  authored=54  jit_notes=54
  [B_haiku] 110/120  acc=0.764  author_calls=110  authored=59  jit_notes=59
  [B_haiku] 120/120  acc=0.775  author_calls=120  authored=65  jit_notes=65
[B_haiku] DONE  Pass@1=93/120=0.775  episode_cost=$0.91  author_cost=$0.160  author_calls=120  interventions=65
