[D_haiku_v-haiku] cell=D locus=external reward_visible=False 120 tasks, 0 done -> /work/tree/domains/autoresearch/blueprints/e-harness3-reward-regime-x-locus/results/D_haiku_v-haiku.jsonl
  [D_haiku_v-haiku] 10/120  acc=0.600  author_calls=10  authored=7  jit_notes=7
  [D_haiku_v-haiku] 20/120  acc=0.750  author_calls=20  authored=13  jit_notes=13
  [D_haiku_v-haiku] 30/120  acc=0.767  author_calls=30  authored=22  jit_notes=22
  [D_haiku_v-haiku] 40/120  acc=0.775  author_calls=40  authored=31  jit_notes=31
  [D_haiku_v-haiku] 50/120  acc=0.800  author_calls=50  authored=41  jit_notes=41
  [D_haiku_v-haiku] 60/120  acc=0.767  author_calls=60  authored=49  jit_notes=49
  [D_haiku_v-haiku] 70/120  acc=0.743  author_calls=70  authored=57  jit_notes=57
  [D_haiku_v-haiku] 80/120  acc=0.750  author_calls=80  authored=64  jit_notes=64
  [D_haiku_v-haiku] 90/120  acc=0.756  author_calls=90  authored=71  jit_notes=71
  [D_haiku_v-haiku] 100/120  acc=0.740  author_calls=100  authored=77  jit_notes=77
  [D_haiku_v-haiku] 110/120  acc=0.764  author_calls=110  authored=86  jit_notes=86
  [D_haiku_v-haiku] 120/120  acc=0.775  author_calls=120  authored=94  jit_notes=94
[D_haiku_v-haiku] DONE  Pass@1=93/120=0.775  episode_cost=$0.99  author_cost=$0.127  author_calls=120  interventions=94
