[D_sonnet_v-haiku] cell=D locus=external reward_visible=False 120 tasks, 0 done -> /work/tree/domains/autoresearch/blueprints/e-harness3-reward-regime-x-locus/results/D_sonnet_v-haiku.jsonl
  [D_sonnet_v-haiku] 10/120  acc=0.600  author_calls=10  authored=8  jit_notes=8
  [D_sonnet_v-haiku] 20/120  acc=0.750  author_calls=20  authored=16  jit_notes=16
  [D_sonnet_v-haiku] 30/120  acc=0.800  author_calls=30  authored=22  jit_notes=22
  [D_sonnet_v-haiku] 40/120  acc=0.800  author_calls=40  authored=29  jit_notes=29
  [D_sonnet_v-haiku] 50/120  acc=0.820  author_calls=50  authored=38  jit_notes=38
  [D_sonnet_v-haiku] 60/120  acc=0.833  author_calls=60  authored=46  jit_notes=46
  [D_sonnet_v-haiku] 70/120  acc=0.814  author_calls=70  authored=52  jit_notes=52
  [D_sonnet_v-haiku] 80/120  acc=0.800  author_calls=80  authored=57  jit_notes=57
  [D_sonnet_v-haiku] 90/120  acc=0.811  author_calls=90  authored=63  jit_notes=63
  [D_sonnet_v-haiku] 100/120  acc=0.790  author_calls=100  authored=68  jit_notes=68
  [D_sonnet_v-haiku] 110/120  acc=0.800  author_calls=110  authored=77  jit_notes=77
  [D_sonnet_v-haiku] 120/120  acc=0.808  author_calls=120  authored=87  jit_notes=87
[D_sonnet_v-haiku] DONE  Pass@1=97/120=0.808  episode_cost=$2.02  author_cost=$0.126  author_calls=120  interventions=87
