[E_sonnet] cell=E locus=self consensus-reward judge=haiku 150 tasks, 0 done -> /work/tree/domains/autoresearch/blueprints/e-harness3-reward-regime-x-locus/results/E_sonnet.jsonl
  [E_sonnet] 10/150  acc=0.700  authored=3  notes=3
  [E_sonnet] 20/150  acc=0.750  authored=5  notes=5
  [E_sonnet] 30/150  acc=0.800  authored=6  notes=6
  [E_sonnet] 40/150  acc=0.800  authored=8  notes=8
  [E_sonnet] 50/150  acc=0.840  authored=8  notes=8
  [E_sonnet] 60/150  acc=0.850  authored=9  notes=9
  [E_sonnet] 70/150  acc=0.857  authored=10  notes=10
  [E_sonnet] 80/150  acc=0.850  authored=12  notes=12
  [E_sonnet] 90/150  acc=0.867  authored=12  notes=12
  [E_sonnet] 100/150  acc=0.880  authored=12  notes=12
  [E_sonnet] 110/150  acc=0.873  authored=14  notes=14
  [E_sonnet] 120/150  acc=0.867  authored=16  notes=16
  [E_sonnet] 130/150  acc=0.877  authored=16  notes=16
  [E_sonnet] 140/150  acc=0.871  authored=18  notes=18
  [E_sonnet] 150/150  acc=0.867  authored=20  notes=20
[E_sonnet] DONE  Pass@1=130/150=0.867  cost=$0.94  author_cost=$0.049  interventions=20
