[F_sonnet_v-haiku] cell=F locus=external consensus-reward judge=haiku 150 tasks, 0 done -> /work/tree/domains/autoresearch/blueprints/e-harness3-reward-regime-x-locus/results/F_sonnet_v-haiku.jsonl
  [F_sonnet_v-haiku] 10/150  acc=0.800  authored=2  notes=2
  [F_sonnet_v-haiku] 20/150  acc=0.850  authored=3  notes=3
  [F_sonnet_v-haiku] 30/150  acc=0.833  authored=5  notes=5
  [F_sonnet_v-haiku] 40/150  acc=0.850  authored=6  notes=6
  [F_sonnet_v-haiku] 50/150  acc=0.880  authored=6  notes=6
  [F_sonnet_v-haiku] 60/150  acc=0.883  authored=7  notes=7
  [F_sonnet_v-haiku] 70/150  acc=0.886  authored=8  notes=8
  [F_sonnet_v-haiku] 80/150  acc=0.875  authored=10  notes=10
  [F_sonnet_v-haiku] 90/150  acc=0.889  authored=10  notes=10
  [F_sonnet_v-haiku] 100/150  acc=0.900  authored=10  notes=10
  [F_sonnet_v-haiku] 110/150  acc=0.891  authored=12  notes=12
  [F_sonnet_v-haiku] 120/150  acc=0.883  authored=14  notes=14
  [F_sonnet_v-haiku] 130/150  acc=0.892  authored=14  notes=14
  [F_sonnet_v-haiku] 140/150  acc=0.886  authored=16  notes=16
  [F_sonnet_v-haiku] 150/150  acc=0.880  authored=18  notes=18
[F_sonnet_v-haiku] DONE  Pass@1=132/150=0.880  cost=$0.96  author_cost=$0.018  interventions=18
