instance_id,gold_pass,total_cost_usd,tokens_per_edit,loop_count,model_family,_n_edits,_n_reads,_n_bash,_n_errors,_n_messages,_est_tokens
PlasmaFAIR__sdf-xarray-24,0,0.068853,3073.8,92,qwen3-30b,20,24,44,16,185,61476
tianocore__edk2-pytool-library-372,1,0.055947,9990.6,45,qwen3-30b,5,9,27,0,91,49953
JeffLIrion__python-androidtv-351,0,0.056491,5604.3,68,qwen3-30b,9,16,39,2,137,50439
PyPSA__linopy-79,1,0.047422,2822.8,78,qwen3-30b,15,15,45,5,157,42341
numpy__numpydoc-101,1,0.045568,2906.1,65,qwen3-30b,14,19,30,4,131,40686
geopandas__geopandas-2542,1,0.058628,4362.2,84,qwen3-30b,12,14,55,3,169,52346
spdx__tools-python-765,0,0.051334,7639.0,59,qwen3-30b,6,16,33,16,119,45834
GenericMappingTools__pygmt-1484,1,0.049546,6319.6,51,qwen3-30b,7,13,27,3,103,44238
dpkp__kafka-python-1312,0,0.067526,5024.2,84,qwen3-30b,12,28,37,8,169,60291
alexgolec__tda-api-37,0,0.056028,6253.1,48,qwen3-30b,8,9,26,1,97,50025
marshmallow-code__apispec-539,1,0.064921,8280.7,52,qwen3-30b,7,15,27,3,105,57965
adamchainz__ec2-metadata-350,1,0.050458,5631.5,42,qwen3-30b,8,10,20,1,85,45052
sunpy__sunpy-5915,1,0.031937,5703.0,53,qwen3-30b,5,9,35,1,107,28515
planetlabs__planet-client-python-378,1,0.066736,6620.7,59,qwen3-30b,9,17,29,0,119,59586
jbradberry__universe-31,1,0.028185,3595.1,55,qwen3-30b,7,22,18,4,111,25166
IAMconsortium__nomenclature-384,0,0.051981,11602.9,42,qwen3-30b,4,14,19,5,85,46412
getsentry__responses-673,1,0.054776,6986.7,48,qwen3-30b,7,12,25,0,97,48907
SirAnthony__slpp-32,1,0.034026,3375.6,46,qwen3-30b,9,10,22,4,93,30380
kiwicom__structlog-sentry-19,1,0.056012,8335.1,50,qwen3-30b,6,13,25,3,101,50010
python-pillow__Pillow-7383,0,0.087163,5986.4,90,qwen3-30b,13,26,48,7,181,77824
iterative__dvc-2488,0,0.06358,5676.8,62,qwen3-30b,10,16,34,1,125,56768
CS-SI__eodag-249,1,0.057621,5716.4,63,qwen3-30b,9,17,32,1,127,51448
spacetx__starfish-1525,0,0.056222,7171.2,66,qwen3-30b,7,23,28,2,133,50198
joke2k__faker-652,0,0.042181,3138.5,74,qwen3-30b,12,21,31,1,149,37662
encode__httpx-2701,0,0.065824,4520.9,63,qwen3-30b,13,12,34,3,127,58771
tobymao__sqlglot-2295,0,0.039714,3223.5,88,qwen3-30b,11,19,51,3,177,35458
narwhals-dev__narwhals-1679,0,0.058075,2729.1,85,qwen3-30b,19,21,42,6,171,51853
NCAS-CMS__cfdm-114,0,0.056765,2027.3,100,qwen3-30b,25,32,37,9,201,50683
OpenMined__PySyft-2560,0,0.065204,7277.2,81,qwen3-30b,8,26,41,0,163,58218
stefankoegl__python-json-patch-112,1,0.048229,7177.0,68,qwen3-30b,6,19,39,5,137,43062
python-graphblas__python-graphblas-303,0,0.061928,13823.2,62,qwen3-30b,4,17,38,0,125,55293
auth0__auth0-python-500,0,0.058513,7463.4,49,qwen3-30b,7,14,22,0,99,52244
tobymao__sqlglot-2529,1,0.02898,5174.9,49,qwen3-30b,5,15,26,6,99,25875
adamchainz__time-machine-433,1,0.034453,6152.2,41,qwen3-30b,5,10,22,1,83,30761
hynek__structlog-463,1,0.044146,3941.6,50,qwen3-30b,10,13,24,5,101,39416
