instance_id,gold_pass,total_cost_usd,tokens_per_edit,loop_count,model_family,_n_edits,_n_reads,_n_bash,_total_tokens,_total_prompt_tokens,_total_completion_tokens
astropy__astropy-12907,1,1.141122,36708.9,12,claude-sonnet,8,0,8,293671,289740,3931
django__django-13230,1,2.072514,40961.0,16,claude-sonnet,14,0,10,573454,567492,5962
django__django-13660,0,0.579846,18202.6,14,claude-sonnet,8,0,12,145621,141675,3946
django__django-11583,1,0.94938,24310.6,14,claude-sonnet,10,0,10,243106,238043,5063
django__django-11039,1,0.877878,36120.5,11,claude-sonnet,6,0,8,216723,213574,3149
django__django-13768,0,1.129746,35715.2,12,claude-sonnet,8,0,8,285722,280681,5041
astropy__astropy-7746,0,2.915292,52192.1,20,claude-sonnet,16,0,16,835073,826892,8181
django__django-11179,1,1.801506,50232.3,17,claude-sonnet,10,0,16,502323,496984,5339
django__django-10914,1,1.261422,47014.9,10,claude-sonnet,8,0,8,376119,372529,3590
django__django-12700,0,1.093074,45923.3,11,claude-sonnet,6,0,8,275540,271925,3615
django__django-13321,0,1.161114,36370.0,11,claude-sonnet,8,0,6,290960,286273,4687
astropy__astropy-6938,0,2.250864,40046.3,18,claude-sonnet,16,0,12,640741,634681,6060
django__django-11742,0,2.843184,51409.4,22,claude-sonnet,16,0,20,822551,814344,8207
django__django-12286,1,1.65708,35702.5,16,claude-sonnet,14,0,14,499835,492707,7128
django__django-11133,1,1.661628,38136.3,16,claude-sonnet,12,0,12,457636,453022,4614
astropy__astropy-14365,0,1.709208,58927.5,15,claude-sonnet,8,0,14,471420,467512,3908
django__django-13590,1,3.093972,44860.7,24,claude-sonnet,20,0,20,897213,888352,8861
django__django-13447,1,3.855216,47489.5,25,claude-sonnet,24,0,18,1139747,1130269,9478
django__django-11099,1,2.246628,43466.1,18,claude-sonnet,16,0,16,695457,689340,6117
django__django-11019,0,2.918574,46838.9,22,claude-sonnet,18,0,18,843100,833931,9169
django__django-13401,1,2.270694,39787.1,20,claude-sonnet,16,0,16,636593,628069,8524
django__django-13028,1,1.784724,49402.9,16,claude-sonnet,10,0,14,494029,488910,5119
astropy__astropy-14182,0,2.67189,47744.3,20,claude-sonnet,16,0,16,763909,756340,7569
django__django-11620,1,3.545226,55848.7,25,claude-sonnet,20,0,26,1116974,1109857,7117
django__django-11001,1,4.476582,55560.7,28,claude-sonnet,24,0,24,1333457,1322304,11153
django__django-12983,0,0.930294,37714.2,10,claude-sonnet,6,0,6,226285,223173,3112
django__django-12747,0,5.421348,66002.3,28,claude-sonnet,24,0,24,1584056,1573576,10480
django__django-12125,0,1.613172,35539.2,14,claude-sonnet,12,0,8,426471,421568,4903
django__django-11564,0,2.382912,40789.1,16,claude-sonnet,18,0,10,734204,727636,6568
django__django-11905,0,3.24618,50462.8,23,claude-sonnet,20,0,22,1009256,999125,10131
django__django-11283,0,3.232104,27003.9,37,claude-sonnet,34,0,32,918132,898922,19210
django__django-12470,1,6.62145,67034.7,36,claude-sonnet,30,0,34,2011042,1997793,13249
django__django-13220,0,0.843738,33428.5,10,claude-sonnet,6,0,6,200571,196192,4379
django__django-10924,0,4.84683,44874.9,33,claude-sonnet,34,0,28,1525745,1511861,13884
django__django-13710,1,2.167176,50841.9,18,claude-sonnet,12,0,16,610103,603780,6323
django__django-13448,0,2.043078,36064.2,20,claude-sonnet,16,0,16,577028,570858,6170
