instance_id,enew1_read_edit_ratio,enew1_edits_without_read_pct,enew1_write_vs_edit_ratio,enew1_n_reads,enew1_n_edits,enew1_n_writes,enew2_recovery_breadth,enew2_retry_without_change_rate,enew2_error_rate_early,enew2_error_rate_late,enew2_total_errors
-tmp-swebench-smoke-sympy__sympy-20590,4.0,0.0,0.0,4,1,0,0.5,0.0,0.16666666666666666,0.0,2
astropy__astropy-12907,3.0,0.0,0.0,3,1,0,0.5,0.0,0.25,0.1111111111111111,4
astropy__astropy-14182,4.0,0.0,0.0,4,1,0,0.5,0.0,0.2222222222222222,0.2,5
astropy__astropy-14365,6.0,0.0,0.0,6,1,0,0.5,0.0,0.125,0.1111111111111111,4
astropy__astropy-14995,2.0,0.0,0.0,2,1,0,0.5,0.0,0.2857142857142857,0.125,5
astropy__astropy-6938,2.0,0.0,0.0,2,1,0,0.0,0.0,0.3333333333333333,0.0,1
astropy__astropy-7746,2.5,0.5,0.0,5,2,0,0.5,0.0,0.3333333333333333,0.2222222222222222,7
django__django-10914,6.0,0.0,0.0,6,1,0,0.0,0.0,0.14285714285714285,0.0,1
django__django-10924,3.0,0.0,0.0,3,1,0,0.0,0.0,0.16666666666666666,0.14285714285714285,2
django__django-11001,3.0,0.0,0.0,3,1,0,0.0,0.0,0.5,0.0,1
django__django-11019,1.75,0.0,0.0,7,4,0,0.5,0.0,0.1111111111111111,0.0,2
django__django-11039,4.0,0.0,0.0,4,1,0,0.0,0.0,0.16666666666666666,0.0,1
django__django-11049,1.5,0.0,0.0,3,2,0,0.0,0.037037037037037035,0.125,0.0,1
django__django-11099,1.0,0.0,0.0,1,1,0,0.0,0.0,1.0,0.0,1
django__django-11133,1.5,0.0,0.0,3,2,0,0.0,0.0,0.3333333333333333,0.0,2
django__django-11179,4.0,0.0,0.0,4,1,0,1.0,0.0,0.0,0.0,0
django__django-11283,5.0,0.0,0.0,5,1,0,0.5,0.0,0.3333333333333333,0.42857142857142855,6
django__django-11422,4.0,0.0,0.0,4,1,0,0.0,0.0,0.16666666666666666,0.0,1
django__django-11564,1.6,0.4,0.0,8,5,0,0.5,0.027777777777777776,0.1,0.09090909090909091,2
django__django-11583,2.0,0.0,0.0,2,1,0,0.0,0.0,0.5,0.0,1
django__django-11620,2.2,0.6,0.0,11,5,0,0.0,0.0,0.2222222222222222,0.0,2
django__django-11630,1.25,0.75,0.0,5,4,0,0.5,0.0,0.1111111111111111,0.1,2
django__django-11742,7.0,0.0,0.0,7,1,0,0.3333333333333333,0.0,0.2222222222222222,0.2,4
django__django-11797,,,,20,0,0,0.0,0.0,0.1111111111111111,0.0,1
django__django-11815,1.25,0.25,0.0,5,4,0,0.0,0.0,0.1111111111111111,0.0,1
django__django-11848,3.0,0.0,0.0,3,1,0,0.5,0.0,0.2,0.16666666666666666,2
django__django-11905,1.75,0.75,0.0,7,4,0,0.0,0.0,0.1111111111111111,0.0,1
django__django-11910,6.0,0.0,0.0,6,1,0,0.0,0.16666666666666666,0.1111111111111111,0.0,1
django__django-11964,2.0,0.0,0.0,2,1,0,0.5,0.0,0.2,0.16666666666666666,2
django__django-11999,3.0,0.0,0.0,3,1,0,0.0,0.0,0.16666666666666666,0.0,1
django__django-12113,,,,19,0,0,0.0,0.0,0.1,0.0,1
django__django-12125,2.3333333333333335,0.0,0.0,7,3,0,0.0,0.0,0.1111111111111111,0.0,1
django__django-12184,3.0,0.0,0.0,3,1,0,0.0,0.0,0.3333333333333333,0.0,2
django__django-12284,3.0,0.0,0.0,3,1,0,0.0,0.03571428571428571,0.125,0.0,1
django__django-12286,1.5,0.0,0.0,3,2,0,0.0,0.0,0.16666666666666666,0.0,1
django__django-12308,1.75,1.0,0.0,7,4,0,0.0,0.0,0.1,0.0,1
django__django-12453,1.0,0.5,0.0,4,4,0,0.0,0.0,0.125,0.0,1
django__django-12470,9.0,0.0,0.0,9,1,0,0.0,0.0,0.1,0.0,1
django__django-12497,1.3333333333333333,0.0,0.0,4,3,0,0.0,0.0,0.16666666666666666,0.0,1
django__django-12589,,,,9,0,0,0.0,0.0,0.1111111111111111,0.0,1
django__django-12700,2.0,0.0,0.0,2,1,0,0.0,0.0,0.25,0.0,1
django__django-12708,5.0,0.0,0.0,5,1,0,0.0,0.0,0.2,0.0,1
django__django-12747,0.875,0.0,0.0,7,8,0,0.5,0.0,0.1111111111111111,0.1,2
django__django-12856,6.0,0.0,0.0,6,1,0,0.0,0.0,0.125,0.0,1
django__django-12908,2.0,0.0,0.0,4,2,0,0.0,0.0,0.16666666666666666,0.0,1
django__django-12915,1.0,0.6666666666666666,0.0,3,3,0,0.0,0.0,0.14285714285714285,0.0,1
django__django-12983,2.0,0.0,0.0,2,1,0,0.5,0.0,0.25,0.0,2
django__django-13028,3.0,0.0,0.0,3,1,0,0.5,0.0,0.16666666666666666,0.16666666666666666,3
django__django-13033,2.0,0.0,0.0,2,1,0,1.0,0.0,0.0,0.0,0
django__django-13158,6.0,0.0,0.0,6,1,0,0.5,0.0,0.14285714285714285,0.125,2
