instance_id,task_complexity,task_domain_knowledge,task_files_scope,task_modification_scope,task_testing_clarity,task_debugging_difficulty,task_edge_case_risk,task_regression_risk,task_difficulty_mean,cond_read_edit_ratio,cond_cost,cond_loop_count,cond_tokens_per_edit,cond_action_pct_edit,cond_n_reads,cond_total_errors
astropy__astropy-12907,3,4,2,3,2,4,4,3,3.125,0.96,0.119546064,7.36,299757.12,0.107758620689655,0.96,1.28
astropy__astropy-14182,2,3,2,2,4,1,3,2,2.375,1.6842105263157894,0.17847530526315789,11.368421052631579,437874.94736842107,0.07421875,1.6842105263157894,2.1052631578947367
astropy__astropy-14365,2,2,1,2,1,1,2,2,1.625,3.6923076923076925,0.20220406153846152,12.307692307692308,556468.3076923077,0.05803571428571426,3.6923076923076925,2.4615384615384617
astropy__astropy-14995,3,3,2,2,2,2,3,3,2.5,0.8,0.11505737999999996,7.6,284324.0,0.1041666666666665,0.8,2.0
astropy__astropy-6938,2,2,1,1,4,2,2,2,2.0,1.0,0.07102095,4.0,194669.5,0.1538461538461538,1.0,0.5
astropy__astropy-7746,2,3,2,2,1,2,3,2,2.125,1.1764705882352942,0.24541291764705886,9.882352941176471,361018.82352941175,0.14166666666666652,2.3529411764705883,3.2941176470588234
django__django-10914,2,3,2,2,4,2,3,2,2.5,2.4,0.10966943999999997,7.2,267991.6,0.1041666666666665,2.4,0.4
django__django-10924,2,3,2,2,3,2,3,2,2.375,1.263157894736842,0.10640842105263158,6.315789473684211,289415.15789473685,0.10795454545454533,1.263157894736842,0.8421052631578947
django__django-11001,3,3,1,2,4,2,4,3,2.75,1.0909090909090908,0.03861447272727269,1.4545454545454546,88701.09090909091,0.3055555555555555,1.0909090909090908,0.36363636363636365
django__django-11019,4,3,2,3,2,4,4,3,3.125,0.56,0.358937664,7.04,191574.72,0.4032258064516128,2.24,0.64
django__django-11039,2,3,2,2,4,2,2,2,2.375,1.6842105263157894,0.09451755789473684,5.894736842105263,244564.63157894736,0.11309523809523805,1.6842105263157894,0.42105263157894735
django__django-11049,1,2,2,1,1,1,1,1,1.25,1.2,0.29862312,15.2,427934.0,0.0925925925925925,2.4,0.8
django__django-11099,1,2,1,1,1,1,2,2,1.375,0.7272727272727273,0.06416138181818182,2.1818181818181817,114482.90909090909,0.22916666666666657,0.7272727272727273,0.7272727272727273
django__django-11133,2,2,1,2,1,1,2,2,1.625,0.9230769230769231,0.20662569230769237,9.846153846153847,271302.76923076925,0.1477272727272727,1.8461538461538463,1.2307692307692308
django__django-11179,2,3,1,1,4,2,3,2,2.25,1.7777777777777777,0.09381706666666662,7.555555555555555,240540.44444444444,0.1125,1.7777777777777777,0.0
django__django-11283,4,4,2,3,3,4,4,3,3.375,1.4814814814814814,0.08444946666666663,3.8518518518518516,218539.55555555556,0.16071428571428567,1.4814814814814814,1.7777777777777777
django__django-11422,2,3,2,2,4,3,2,2,2.5,1.6,0.11259179999999999,6.0,274215.6,0.11904761904761901,1.6,0.4
django__django-11564,3,4,4,3,2,3,4,4,3.375,0.4740740740740741,0.1643226222222222,6.518518518518518,105359.52592592593,0.46875,2.3703703703703702,0.5925925925925926
django__django-11583,3,3,2,2,4,4,4,2,3.0,0.6666666666666666,0.0431665,1.6666666666666667,97379.66666666667,0.375,0.6666666666666666,0.3333333333333333
django__django-11620,2,3,2,2,3,2,3,3,2.5,0.8800000000000001,0.21079266,4.8,111152.8,0.37878787878787873,4.4,0.8
django__django-11630,3,4,3,3,2,2,4,4,3.125,0.4,0.17904614399999996,6.4,116510.72,0.390625,1.6,0.64
django__django-11742,2,2,2,2,2,1,3,2,2.0,3.5,0.231981525,8.5,628295.5,0.064516129032258,3.5,2.0
django__django-11797,4,4,2,3,4,4,4,4,3.625,,,,,,5.517241379310345,0.27586206896551724
django__django-11815,3,4,2,2,4,3,4,3,3.125,0.4,0.17030246400000004,5.76,99334.4,0.4032258064516128,1.6,0.32
django__django-11848,2,2,1,2,4,2,4,2,2.375,1.263157894736842,0.1095488842105263,4.2105263157894735,261198.73684210525,0.13970588235294115,1.263157894736842,0.8421052631578947
django__django-11905,2,3,2,2,4,2,3,3,2.625,0.6666666666666666,0.16582868571428572,5.714285714285714,107833.04761904762,0.33870967741935476,2.6666666666666665,0.38095238095238093
django__django-11910,3,4,2,3,2,3,4,3,3.0,2.0,0.20050730000000003,6.333333333333333,416953.6666666667,0.0999999999999999,2.0,0.3333333333333333
django__django-11964,3,3,2,2,1,2,3,3,2.375,0.8421052631578947,0.10464656842105263,5.052631578947368,235241.68421052632,0.13970588235294115,0.8421052631578947,0.8421052631578947
django__django-11999,2,3,2,2,2,3,3,3,2.5,1.2,0.11359865999999996,5.2,248831.2,0.125,1.2,0.4
django__django-12113,3,3,2,2,3,3,3,2,2.625,,,,,,7.238095238095238,0.38095238095238093
django__django-12125,3,3,2,2,2,3,3,2,2.5,0.9333333333333333,0.17581121999999996,8.0,164243.73333333334,0.22727272727272724,2.8,0.4
django__django-12184,2,3,2,2,4,2,3,2,2.5,1.2,0.11389092,6.0,299609.2,0.11363636363636351,1.2,0.8
django__django-12284,3,3,2,2,1,3,3,3,2.5,1.2,0.12581532,9.2,345482.0,0.08928571428571425,1.2,0.4
django__django-12286,2,3,2,2,4,2,3,2,2.5,0.6,0.1051791,5.6,141518.6,0.22727272727272724,1.2,0.4
django__django-12308,2,3,1,2,4,2,3,2,2.375,0.7368421052631579,0.1619045052631579,7.578947368421052,124921.15789473684,0.2794117647058823,2.9473684210526314,0.42105263157894735
django__django-12453,2,3,1,1,4,3,2,2,2.25,0.4444444444444444,0.17483999999999997,8.444444444444445,124078.33333333333,0.3214285714285713,1.7777777777777777,0.4444444444444444
django__django-12470,2,3,2,2,1,2,3,3,2.25,4.0,0.2606718,10.222222222222221,593350.2222222222,0.06617647058823517,4.0,0.4444444444444444
django__django-12497,1,2,1,1,5,1,1,1,1.625,0.8205128205128205,0.1581611076923077,7.384615384615385,125440.82051282053,0.22159090909090898,2.4615384615384617,0.6153846153846154
django__django-12589,4,4,3,3,3,4,4,4,3.625,,,,,,2.4827586206896552,0.27586206896551724
