instance_id,gold_pass,fix_generated,patch_len,diff_size_chars,files_modified,num_turns,total_cost_usd,elapsed_s,tool_count,tool_used,comp_ignore,comp_generate_run,comp_gen_run_iterate,comp_full_pipeline,comp_generate_only,comp_other,adversarial_review_used,revised_after_failure,submitted_despite_failure,v009_verdict,v009_confidence,generate_count,run_count,test_pass_total,test_fail_total,test_error_count,review_score_mean,review_score_max,total_actions,action_pct_edit,action_pct_search,action_pct_bash,first_edit_pct,first_edit_action,loop_count,action_entropy,parkinson_ratio,total_input_tokens,total_output_tokens,total_cache_create_tokens,total_cache_read_tokens,total_thinking_tokens,total_tokens,n_thinking_blocks,token_efficiency_ratio,cache_hit_ratio,token_budget_utilization,tokens_per_edit,thinking_to_output_ratio,context_growth_rate
astropy__astropy-12907,1,1,506,506,1,30,0.37358145000000004,163.4,3,1,0,0,0,1,0,0,1,0,1,0,0.15,1,1,0,0,1,0.25,0.25,29,0.034482758620689655,0.13793103448275862,0.8275862068965517,0.1724137931034483,5,23,1.2320872216997276,0.1724137931034483,107,5158,50740,880736,422,936741,3,0.005506324587052344,0.9402129297212356,4.683705,936741.0,0.08181465684373788,610.6709590878608
astropy__astropy-14182,0,1,803,803,1,31,0.42387885000000003,197.4,0,0,1,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,,,32,0.03125,0.15625,0.8125,0.21875,7,27,1.2511644549200616,0.21875,108,5854,54544,979447,527,1039953,3,0.005629100545890054,0.9418185244910107,5.199765,1039953.0,0.09002391527160916,784.4642674253203
astropy__astropy-14365,0,1,619,619,1,29,0.3285816,155.4,3,1,0,0,0,1,0,0,1,0,1,0,0.69,1,1,0,0,1,0.71,0.71,28,0.03571428571428571,0.25,0.7142857142857143,0.21428571428571427,6,20,1.7550118241789237,0.21428571428571427,108,4098,41958,858097,17,904261,1,0.004531877411499556,0.9489483677831954,4.521305,904261.0,0.004148365056124939,541.9617706237426
astropy__astropy-14995,1,1,609,609,1,25,0.28764344999999997,118.0,2,1,0,1,0,0,0,0,0,0,1,0,0.45,1,1,0,0,1,,,24,0.041666666666666664,0.125,0.8333333333333334,0.25,6,19,1.2601423897108555,0.25,104,4237,39016,667453,342,710810,3,0.005960805278485109,0.9390033904981641,3.55405,710810.0,0.08071748878923767,559.9851625451514
astropy__astropy-6938,1,1,576,576,1,14,0.1420419,77.4,3,1,0,0,0,1,0,0,1,0,1,1,0.92,1,1,0,0,1,0.92,0.92,13,0.07692307692307693,0.23076923076923078,0.6923076923076923,0.38461538461538464,5,8,1.9473387961875537,0.38461538461538464,90,1814,30633,356802,54,389339,2,0.004659178761952951,0.9164301546980909,1.946695,389339.0,0.029768467475192944,443.8392603129444
astropy__astropy-7746,0,1,1107,1107,1,31,0.5215024500000001,243.6,4,1,0,0,0,1,0,0,1,0,1,0,0.35,1,1,0,0,1,0.385,0.42,30,0.06666666666666667,0.2,0.7333333333333333,0.13333333333333333,4,21,1.8988934941577416,0.13333333333333333,123,9712,70571,1453924,2126,1534330,10,0.00632979867433994,0.9475953673590427,7.67165,767165.0,0.21890444810543658,1090.123216728552
django__django-10914,1,1,625,625,1,25,0.27417359999999996,136.8,3,1,0,0,0,1,0,0,1,0,1,0,0.5,1,1,0,0,1,0.52,0.52,24,0.041666666666666664,0.2916666666666667,0.6666666666666666,0.4166666666666667,10,18,1.7712589600219495,0.4166666666666667,33,3261,30062,636623,315,669979,2,0.004867316736793243,0.9502133648965116,3.349895,669979.0,0.09659613615455381,698.6124488603156
django__django-10924,1,1,561,561,1,23,0.25272000000000006,119.6,4,1,0,0,0,1,0,0,1,1,1,0,0.3,1,2,0,0,0,0.32,0.32,22,0.045454545454545456,0.18181818181818182,0.7727272727272727,0.2727272727272727,6,15,1.6636046175975006,0.2727272727272727,100,4240,19519,663502,597,687361,4,0.006168519889839546,0.9652889820632826,3.436805,687361.0,0.14080188679245284,934.4031630801137
django__django-11001,1,1,543,543,1,10,0.10618979999999999,42.6,2,1,0,1,0,0,0,0,0,0,0,,,1,1,10,0,0,,,9,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.6666666666666666,6,4,2.5,0.6666666666666666,85,1258,30538,212047,22,243928,1,0.005157259519202388,0.8693015971926142,1.21964,243928.0,0.017488076311605722,639.8776068376068
django__django-11019,0,1,6314,6314,2,31,1.1216802000000001,504.4,4,1,0,0,0,1,0,0,1,0,0,0,0.35,1,2,38,2,0,0.55,0.55,31,0.12903225806451613,0.25806451612903225,0.6129032258064516,0.2903225806451613,9,22,2.148394345536403,0.2903225806451613,55,34003,110948,2249678,5750,2394684,8,0.014199368267378911,0.9394467077910906,11.97342,598671.0,0.16910272623003852,2505.7321754027853
