#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260615    13:45:10       0      0      0      0      0      0      0  12481   2422  91763  91764      0 
 20260615    13:45:10       1      0      0      0      0      0      0  12481   2422  91769  91770      0 
 20260615    13:45:11       0      0      0      0      0      0      0  12481   2422  91763  91764      0 
 20260615    13:45:11       1      0      0      0      0      0      0  12481   2422  91769  91770      0 
 20260615    13:45:12       0      0      0      0      0      0      0  12481   2422  91763  91764      0 
 20260615    13:45:12       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:13       0      0      0      0      0      0      0  12481   2422  91763  91764      0 
 20260615    13:45:13       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:14       0      0      0      0      0      0      0  12481   2422  91763  91764      0 
 20260615    13:45:14       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:15       0      0      0      0      0      0      0  12481   2422  91763  91764      0 
 20260615    13:45:15       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:16       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:16       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:17       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:17       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:18       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:18       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:19       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:19       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:20       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:20       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:21       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:21       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:22       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:22       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:23       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:23       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:24       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:24       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:25       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:25       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:26       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:45:26       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:45:27       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
