TRAFFIC_START url=http://172.20.222.161:80/ rps=50.0 duration=240.0
HEARTBEAT t=5s sent=250 ok=0 err=249
HEARTBEAT t=10s sent=500 ok=0 err=499
HEARTBEAT t=16s sent=750 ok=0 err=749
HEARTBEAT t=21s sent=1000 ok=0 err=999
HEARTBEAT t=26s sent=1250 ok=0 err=1249
HEARTBEAT t=31s sent=1500 ok=0 err=1499
HEARTBEAT t=36s sent=1750 ok=0 err=1749
HEARTBEAT t=41s sent=2000 ok=0 err=1999
HEARTBEAT t=47s sent=2250 ok=0 err=2249
HEARTBEAT t=52s sent=2500 ok=0 err=2499
HEARTBEAT t=57s sent=2750 ok=0 err=2749
HEARTBEAT t=62s sent=3000 ok=0 err=2999
HEARTBEAT t=67s sent=3250 ok=0 err=3249
HEARTBEAT t=73s sent=3500 ok=0 err=3499
HEARTBEAT t=78s sent=3750 ok=0 err=3749
HEARTBEAT t=83s sent=4000 ok=0 err=3999
HEARTBEAT t=88s sent=4250 ok=0 err=4249
HEARTBEAT t=93s sent=4500 ok=0 err=4499
HEARTBEAT t=98s sent=4750 ok=0 err=4749
HEARTBEAT t=104s sent=5000 ok=0 err=4999
HEARTBEAT t=109s sent=5250 ok=0 err=5249
HEARTBEAT t=114s sent=5500 ok=0 err=5499
HEARTBEAT t=119s sent=5750 ok=0 err=5749
HEARTBEAT t=124s sent=6000 ok=0 err=5999
HEARTBEAT t=130s sent=6250 ok=0 err=6249
HEARTBEAT t=135s sent=6500 ok=0 err=6499
HEARTBEAT t=140s sent=6750 ok=0 err=6749
HEARTBEAT t=145s sent=7000 ok=0 err=6999
HEARTBEAT t=150s sent=7250 ok=0 err=7249
HEARTBEAT t=155s sent=7500 ok=0 err=7499
HEARTBEAT t=161s sent=7750 ok=0 err=7749
HEARTBEAT t=166s sent=8000 ok=0 err=7999
HEARTBEAT t=171s sent=8250 ok=0 err=8249
HEARTBEAT t=176s sent=8500 ok=0 err=8499
HEARTBEAT t=181s sent=8750 ok=0 err=8749
HEARTBEAT t=187s sent=9000 ok=0 err=8999
HEARTBEAT t=192s sent=9250 ok=0 err=9249
HEARTBEAT t=197s sent=9500 ok=0 err=9499
HEARTBEAT t=202s sent=9750 ok=0 err=9749
HEARTBEAT t=207s sent=10000 ok=0 err=9999
HEARTBEAT t=212s sent=10250 ok=0 err=10249
HEARTBEAT t=218s sent=10500 ok=0 err=10499
HEARTBEAT t=223s sent=10750 ok=0 err=10749
HEARTBEAT t=228s sent=11000 ok=0 err=10999
HEARTBEAT t=233s sent=11250 ok=0 err=11249
HEARTBEAT t=238s sent=11500 ok=0 err=11499
DRAINING...
SUMMARY {"total": 11579, "successes": 0, "errors": 11579, "error_rate_pct": 100.0, "latency_p50_ms": 0, "latency_p99_ms": 0, "error_window_s": 240.0}
